object_id,time,feature1,feature2
1,1,0.32275851969588537,0.0841085518954118
2,1,0.3698045097404553,0.20760667997420057
3,1,0.3378347662492265,0.07493481677127538
4,1,0.31127413139697624,0.10844346779193009
5,1,0.25713959480627135,0.2334522872966938
6,1,0.4064516579768824,0.05180018195759806
7,1,0.3791724669262495,0.16352702766114846
8,1,0.2834614566528149,0.09961254904885448
9,1,0.3421332288959825,0.13425513567917258
10,1,0.34431255656391024,0.17525816947798167
11,1,0.2337358884114339,0.19645646825630958
12,1,0.4036229092712295,0.23676653754849522
13,1,0.3298056235783331,0.05174103204043563
14,1,0.2079512883006728,0.06968341087733823
15,1,0.39534071374815816,0.10346101787332591
1,2,0.2566275806263241,0.1925049667239114
2,2,0.28096101115985844,0.09570736514680041
3,2,0.31066406477542,0.2515221094538107
4,2,0.22503860331251524,0.1275683236586386
5,2,0.2763288611780021,0.0900935037331561
6,2,0.2930755193583436,0.24630510280735668
7,2,0.3253330073868558,0.1894052770519847
8,2,0.36477996778975397,0.1126461569157106
9,2,0.30720191500765875,0.15754349347104807
10,2,0.31401572905776187,0.10529167030031754
11,2,0.34885735984959954,0.10202969655830083
12,2,0.22702756879368347,0.24419848032638145
13,2,0.38329360447973215,0.16935483043172747
14,2,0.2765709859846942,0.13180490514958132
15,2,0.2486954980281494,0.20615908411626357
1,3,0.2527478324433141,0.07764434167043445
2,3,0.2913458269503519,0.20886791522680742
3,3,0.31710313858218636,0.14068345839937751
4,3,0.23111511195126988,0.1315988901533949
5,3,0.16260257568897613,0.1871714205124355
6,3,0.22793230523420557,0.1085414279066148
7,3,0.177585867191149,0.13426796555471124
8,3,0.2781706541672253,0.12277416872308482
9,3,0.33550996978658704,0.1793274237042106
10,3,0.20988250906926745,0.14972755012982605
11,3,0.343707624236426,0.14867871921879058
12,3,0.2820218344548963,0.05721150511681221
13,3,0.25947808401145933,0.1369450329137949
14,3,0.24182683672088695,0.12874385198381244
15,3,0.27858787057398565,0.15239019003913665
1,4,0.24885980007691763,0.2049720641199173
2,4,0.24362517522976668,0.018299990365295005
3,4,0.16115652192267418,0.11832011467097137
4,4,0.1707050249506194,0.029785105476167126
5,4,0.18234171911159394,0.10205209047749272
6,4,0.3591280497389509,0.10824749456874305
7,4,0.252318493347877,0.09853858731515253
8,4,0.26081287355465127,0.10065391826253361
9,4,0.3058334766995323,0.19082473153319257
10,4,0.30016450605375355,0.09589854494127686
11,4,0.2904962602336752,0.1931445439124625
12,4,0.19131590489339906,0.058704915787737635
13,4,0.2844128366090936,0.14864041353735896
14,4,0.28911048112855603,0.12894213698739437
15,4,0.3264750753552743,0.10702501505486414
1,5,0.27842065929627696,0.2292411247922872
2,5,0.3349977985518255,0.23520830796872433
3,5,0.20059649995129264,0.24009173806459713
4,5,0.34471702982113583,0.24994779456852242
5,5,0.387613194526048,0.11456915525349848
6,5,0.32534958604150005,0.08572671530152891
7,5,0.3103758754499214,0.24138794423525872
8,5,0.22974398691905065,0.12744574636955547
9,5,0.20729845812216538,0.09640327222515967
10,5,0.2328898559959245,0.07667219505721684
11,5,0.391288930255668,0.2349788000950059
12,5,0.28410131723731735,0.2062124985066023
13,5,0.3303966813849872,0.16196293107399384
14,5,0.2760466816893958,0.19028667385254885
15,5,0.3024532973056046,0.11064997467386184
1,6,0.3032076557122745,0.1121174376273844
2,6,0.29973647551276406,0.24518443747700858
3,6,0.352049367299535,0.20065134691224815
4,6,0.19181641202280947,0.15490230338407668
5,6,0.19558633435618542,0.08124864498044931
6,6,0.22872149446906606,0.16157343795588497
7,6,0.3296617783537671,0.19596699336650103
8,6,0.23427879775832872,0.20921249778236375
9,6,0.27908326953825663,0.17170460853249486
10,6,0.23050629005782336,0.15852782272289245
11,6,0.24608705140765033,0.21550796418015486
12,6,0.2743011835333418,0.15955180103636452
13,6,0.27318349613097104,0.1661809599365555
14,6,0.31570961749791804,0.21416822326300494
15,6,0.3380012721178916,0.1512500617275321
1,7,0.40560574576525366,0.2608024003795807
2,7,0.2202335931086238,0.2861285855602899
3,7,0.3744272577646665,0.11993484378904402
4,7,0.2726690091751554,0.18109072400495166
5,7,0.3552242879309971,0.2387325376111451
6,7,0.26360027267305014,0.1539443922878458
