object_id,time,feature1
1,1,0.85
2,1,0.8754919150975566
3,1,0.8769163466795906
4,1,0.8735460006429148
5,1,0.825013040609841
6,1,0.8555216336131442
1,2,0.8347494816469923
2,2,0.8365547622540727
3,2,0.8125676581218411
4,2,0.8162693110993499
5,2,0.8314238960793731
6,2,0.8180118320364254
1,3,0.8257560734165356
2,3,0.7972420914659096
3,3,0.8009025185931107
4,3,0.8383565654312302
5,3,0.8210309751133872
6,3,0.8265141088800769
1,4,0.8725978891732347
2,4,0.8641376707604066
3,4,0.8460511609521878
4,4,0.889584030542865
5,4,0.8779452981395549
6,4,0.8820726517792283
1,5,0.8967961802008481
2,5,0.9250402938555855
3,5,0.8885637313095346
4,5,0.9123833769354599
5,5,0.8889172090869405
6,5,0.9011189870723549
1,6,0.9289026020509117
2,6,0.9177660686890828
3,6,0.904046769510344
4,6,0.927346587413694
5,6,0.9419774422760796
6,6,0.9343391839269619
1,7,0.9183929139055785
2,7,0.9269356218391764
3,7,0.8993146668646239
4,7,0.8991053109446284
5,7,0.9077976548381781
6,7,0.937345323465097
1,8,0.8575144844663586
2,8,0.8343725567840454
3,8,0.8334307363460547
4,8,0.829850474642564
5,8,0.8440483521563678
6,8,0.8618837981596649
1,9,0.9216471206408635
2,9,0.9114954115204614
3,9,0.9138263565612295
4,9,0.9089561800858973
5,9,0.9099343666719717
6,9,0.9383020706284217
1,10,0.9314458146230702
2,10,0.9169509260564271
3,10,0.9078734485134243
4,10,0.9484743586255706
5,10,0.9438744218760916
6,10,0.9511597341552266
1,11,0.8790510942002392
2,11,0.8817798355819068
3,11,0.9041756847812901
4,11,0.8846128383687956
5,11,0.9057790810052466
6,11,0.8590866795661217
1,12,0.974052387969389
2,12,0.9474075764721408
3,12,0.9690257871883275
4,12,0.9454541560707994
5,12,0.9926261839253001
6,12,0.9852847095354652
1,13,0.9817716125782859
2,13,0.9967124743813472
3,13,0.972540165753006
4,13,0.9743915620788156
5,13,0.9633704459471506
6,13,0.9563242369220613
1,14,0.9749631730080293
2,14,0.9567618674792765
3,14,0.9579202394955445
4,14,0.9511733803018109
5,14,0.9767013721449583
6,14,0.9551439697015671
1,15,0.9836928403109793
2,15,0.9688765815079743
3,15,0.9789979365937582
4,15,0.9803743919888279
5,15,0.9742594135984927
6,15,0.9949575007336973
1,16,0.9662172815972676
2,16,0.9777986582216492
3,16,0.9860064587308355
4,16,0.9745880105723902
5,16,0.9505227323105139
6,16,0.9539324721383152
1,17,0.9481405641890502
2,17,0.9644405038782903
3,17,0.9515660019716652
4,17,0.9511368138580281
5,17,0.9677330202399487
6,17,0.9246473404140092
1,18,0.9743882728959243
2,18,0.9643384112107077
3,18,0.9779495856289526
4,18,0.9945092408639361
5,18,0.9592894062985071
6,18,0.9491027967498282
1,19,0.9867925294909141
2,19,0.9893014244918658
3,19,0.9708973649804221
4,19,0.9904434222959029
5,19,0.9850361478598088
6,19,0.9837682266156549
1,20,0.8875809265917347
2,20,0.8802115372173207
3,20,0.9047169837405818
4,20,0.8660927272455999
5,20,0.9096243727757242
6,20,0.869796362600418
1,21,0.9238063573041077
2,21,0.9041962831362379
3,21,0.9207657970045792
4,21,0.9191593716039884
5,21,0.8987143408843253
6,21,0.9357827568497458
1,22,0.9198413439749269
2,22,0.9311819208286782
3,22,0.9221893460453146
4,22,0.9231935943621397
5,22,0.9214089456254781
6,22,0.9077090162389483
1,23,0.9995920427706455
2,23,0.9747754792954377
3,23,0.9994604318603543
4,23,0.9870896432431743
5,23,0.9887709746658551
6,23,0.9905548530507049
1,24,0.9600263935498349
2,24,0.9876085550941767
3,24,0.9505030120307169
4,24,0.9532794067625717
5,24,0.9551999608837493
6,24,0.9790160291073231
1,25,0.955578152190718
2,25,0.9588032921141381
3,25,0.940907070829006
4,25,0.9422623464087986
5,25,0.9309234323838171
6,25,0.938613672756168
1,26,0.9083557822636111
2,26,0.9294920198608988
3,26,0.9085039762656959
4,26,0.8849791311346913
5,26,0.9061191525345369
6,26,0.8856115422229219
1,27,0.921561161168068
2,27,0.9180892038753282
3,27,0.9430582242253607
4,27,0.9071175455450153
5,27,0.9426128818966342
6,27,0.9064173159805344
1,28,0.9483970728435871
2,28,0.9209578503916283
3,28,0.9668276182092366
4,28,0.9349358678679334
5,28,0.9401318084659606
6,28,0.9271920861023519
1,29,0.8664718716963056
2,29,0.8807678653711776
3,29,0.8602153771492547
4,29,0.8772384188820086
5,29,0.854055825577303
6,29,0.8411684718166894
1,30,0.949505859123672
2,30,0.9587909629238247
3,30,0.9296868115419764
4,30,0.9780773665121447
5,30,0.9742149236724355
6,30,0.9304619967446919
1,31,0.8533258405438394
2,31,0.8599857148711565
3,31,0.8316749425039971
4,31,0.8672392433818894
5,31,0.8514583783990438
6,31,0.8658696904717895
1,32,0.8672841170464951
2,32,0.8835265408703363
3,32,0.8865817982185705
4,32,0.8734583287392347
5,32,0.8727680007115847
6,32,0.8568956640528609
1,33,0.7941021218193473
2,33,0.7696514670563788
3,33,0.8155187522130294
4,33,0.7764674956246438
5,33,0.7896959882236692
6,33,0.7831071354152531
1,34,0.818030031286689
2,34,0.8200308146349085
3,34,0.8395724102213564
4,34,0.814192513785311
5,34,0.8097443718237239
6,34,0.8271031147855047
1,35,0.8669905449990174
2,35,0.8925184477249639
3,35,0.8557003835934335
4,35,0.8901791416617606
5,35,0.895876563225605
6,35,0.8959329601045186
1,36,0.7928295911742015
2,36,0.7856362937203728
3,36,0.8092689661472441
4,36,0.8126911106251038
5,36,0.7652005291585832
6,36,0.786533483859794
1,37,0.8376607765305084
2,37,0.8531575174606407
3,37,0.8397662838574294
4,37,0.8202940168946409
5,37,0.8320692421943131
6,37,0.8111734783878999
1,38,0.8007971987711555
2,38,0.7964393178834058
3,38,0.8201735956776598
4,38,0.8061572769559285
5,38,0.7956591405706216
6,38,0.7855531865741067
1,39,0.7638529257092045
2,39,0.7740979580031095
3,39,0.7605804397460159
4,39,0.7442403507140988
5,39,0.7831568757957422
6,39,0.7683898404593513
1,40,0.8573567585505977
2,40,0.8595398544670528
3,40,0.8647408324180821
4,40,0.8530156451980304
5,40,0.863853768475412
6,40,0.8824868300893568
7,1,0.65
8,1,0.6788774044172167
9,1,0.6596572652935413
10,1,0.6458143591796438
11,1,0.6237608390106569
12,1,0.6704119203998851
7,2,0.6391421516515982
8,2,0.6320890162809513
9,2,0.6125689636761964
10,2,0.6111898601724929
11,2,0.6325743352228703
12,2,0.6676259243509922
7,3,0.6631997297024608
8,3,0.6757280182071406
9,3,0.6733064984031926
10,3,0.6495721193703354
11,3,0.6433189645371892
12,3,0.6693409360193884
7,4,0.619555877193798
8,4,0.6248404703639022
9,4,0.6204246480304715
10,4,0.6221057763029224
11,4,0.5968359691028988
12,4,0.593611847694279
7,5,0.6168791344363063
8,5,0.5956136309607933
9,5,0.6253664188278163
10,5,0.6054512933022493
11,5,0.6241177867033448
12,5,0.6318917575914922
7,6,0.6275227918885997
8,6,0.6294177849161434
9,6,0.6093620780603642
10,6,0.618354138154374
11,6,0.6561996739673278
12,6,0.613636945171121
7,7,0.6059556122015073
8,7,0.6055526558553417
9,7,0.608712848386104
10,7,0.6234002751935174
11,7,0.5936702009948056
12,7,0.6337252806341283
7,8,0.5581782859605208
8,8,0.5756000375798558
9,8,0.5623620232031307
10,8,0.5822481505146542
11,8,0.5373622063126763
12,8,0.5695314847483941
7,9,0.6028995683381106
8,9,0.6129229221501852
9,9,0.5796427909755312
10,9,0.6281556911256223
11,9,0.6310778089579812
12,9,0.5795478100466636
7,10,0.6356263856051251
8,10,0.6103861066887419
9,10,0.6105039424485761
10,10,0.6533488639801737
11,10,0.648821348558246
12,10,0.6630576170158206
7,11,0.6488192769609484
8,11,0.6495211584281997
9,11,0.635143388129613
10,11,0.6531906037152551
11,11,0.6783667635501264
12,11,0.6576192109041903
7,12,0.6863737704477886
8,12,0.6682206611597985
9,12,0.7004717746964986
10,12,0.7002803463409125
11,12,0.6606250474431695
12,12,0.7055857372000585
7,13,0.6539808832990881
8,13,0.6370214037683606
9,13,0.6276536293031503
10,13,0.6637410940653953
11,13,0.6325187360304273
12,13,0.6825227562146422
7,14,0.603984963684117
8,14,0.6225543801115037
9,14,0.6195350132478721
10,14,0.6081429615418956
11,14,0.6083038031840411
12,14,0.6218636588349389
7,15,0.6176211951198869
8,15,0.595983469503882
9,15,0.6354319780653284
10,15,0.6088538967996221
11,15,0.6226471997057342
12,15,0.6183672741584482
7,16,0.6580246908307597
8,16,0.6528863334038078
9,16,0.6792298756614668
10,16,0.6329330521717421
11,16,0.6475948139158988
12,16,0.6682591504923484
7,17,0.6692194921870128
8,17,0.6891586393463764
9,17,0.6516941201171605
10,17,0.6874710232401507
11,17,0.6869567115720574
12,17,0.6477950080044733
7,18,0.633202435498505
8,18,0.6381996813179982
9,18,0.6617398001501931
10,18,0.6400263135655795
11,18,0.6288796349004452
12,18,0.6336144112682137
7,19,0.6641574835315904
8,19,0.6654946915390129
9,19,0.6663630298721562
10,19,0.6697545490402297
11,19,0.6900831927905957
12,19,0.6821813492937532
7,20,0.6980722865479196
8,20,0.6840445835861279
9,20,0.7040811875921823
10,20,0.7174574477619386
11,20,0.711161687289944
12,20,0.7251812670414403
7,21,0.7395933945143196
8,21,0.7172510990681363
9,21,0.7400854879717189
10,21,0.7310590873611811
11,21,0.7219015714241608
12,21,0.7396413946019238
7,22,0.7879533737075718
8,22,0.804049728793687
9,22,0.7639013245078445
10,22,0.7728171779053359
11,22,0.7801329760761598
12,22,0.8110623439734715
7,23,0.7839031071266132
8,23,0.7634743941142816
9,23,0.7869148580600868
10,23,0.7687366811245213
11,23,0.756203416768464
12,23,0.7894631690462407
7,24,0.8329892748616448
8,24,0.8495442511745951
9,24,0.8471615263234873
10,24,0.8121474084594503
11,24,0.8366920118232166
12,24,0.8412048207386001
7,25,0.8589019926180188
8,25,0.8557044811016089
9,25,0.8321004375341923
10,25,0.8845644417201199
11,25,0.8448343406976307
12,25,0.873207229496777
7,26,0.8553230836574077
8,26,0.8720748011384782
9,26,0.845586793366768
10,26,0.8308707975041663
11,26,0.851004017659165
12,26,0.8541241110997855
7,27,0.8845798232025868
8,27,0.8788051181793917
9,27,0.8945668788817335
10,27,0.8771584068490501
11,27,0.8985394739053968
12,27,0.8650333830626137
7,28,0.9225864110126001
8,28,0.9492498427171694
9,28,0.8940089979167255
10,28,0.9440902582213481
11,28,0.9392702724747366
12,28,0.9341666737093224
7,29,0.883176516405565
8,29,0.8971480379626806
9,29,0.8994768878382752
10,29,0.8907531761070386
11,29,0.9109959248829059
12,29,0.9099935646236826
7,30,0.8965368818472583
8,30,0.9220382154861493
9,30,0.8751641670935822
10,30,0.8844344660446092
11,30,0.8983277003930247
12,30,0.8978974840219232
7,31,0.941820995580224
