object_id,time,feature1,feature2
1,1,0.2751128524525025,0.6242846434043192
2,1,0.32518241882569204,0.6031148328208035
3,1,0.30381278212006163,0.7027853343498193
4,1,0.2993830049894324,0.750555169814525
5,1,0.1758575649258851,0.651294398278112
6,1,0.2695533950901529,0.6426699875660776
7,1,0.18057737992261952,0.6348741934919445
8,1,0.29948194797197125,0.7317626254956502
9,1,0.2874377269686236,0.6340914157920451
10,1,0.3128821845193467,0.677288226702332
1,2,0.19577274609425716,0.5852034687047134
2,2,0.22473599796724034,0.6273542425334087
3,2,0.22572082244007896,0.7128921804741291
4,2,0.24091193063024763,0.6341246391432958
5,2,0.28451247847894456,0.7226355118898716
6,2,0.20984898566462093,0.7151132966870207
7,2,0.11554769073657625,0.5944072935595388
8,2,0.1462365821747293,0.7140692937064603
9,2,0.24989467155923495,0.6812219263665891
10,2,0.16912110889825913,0.6476073364977029
1,3,0.15826591922026884,0.5354657823125243
2,3,0.2287538823754516,0.6544256869771852
3,3,0.2460196605150822,0.5885722555301074
4,3,0.23543287564050439,0.5552350770253337
5,3,0.32464815615501696,0.581423568535133
6,3,0.18207355201635148,0.5750383040858296
7,3,0.3000081073025788,0.5760934920663021
8,3,0.31598286713518686,0.5787799730391647
9,3,0.22333126496424643,0.539483500840338
10,3,0.31651581068365986,0.6477760765966658
11,1,0.22991092538037355,0.39566344331316705
12,1,0.23351817053898236,0.43477560218424477
13,1,0.3030221065171549,0.517550829856498
14,1,0.28324279961712445,0.42143517972769534
15,1,0.1432973318445421,0.512444357734941
16,1,0.32392146341139455,0.40210959193192003
17,1,0.2350068474673073,0.4504989727852122
18,1,0.3303073131903273,0.38481068452997325
19,1,0.1473628708228025,0.5049156317483615
20,1,0.24893775441168733,0.4476966906149516
11,2,0.29057134963215203,0.46735442750200007
12,2,0.27350704642149837,0.41669711295090794
13,2,0.15200762555496425,0.3796921362813768
14,2,0.2016426635477158,0.4756283677219191
15,2,0.21097933877427916,0.430452551849827
16,2,0.25873251412449094,0.4841334898623901
17,2,0.2541124441297948,0.42511410038889313
18,2,0.2993700595548708,0.49845895489560016
19,2,0.3137210845376762,0.5122402464632568
20,2,0.1380291491539898,0.47872803695414223
11,3,0.2046386580302737,0.4366201180890377
12,3,0.2386393205751863,0.3999361906226105
13,3,0.18490813164639672,0.5262922401694756
14,3,0.20122236373630636,0.5153039280270515
15,3,0.27190358590990854,0.4255758012569016
16,3,0.19876228287078457,0.4690824405550658
17,3,0.27543743896128564,0.429358718928176
18,3,0.14683357171383507,0.4041866742737836
19,3,0.30715648472019963,0.4876824275002669
20,3,0.1566758529539127,0.5036203982029652
21,1,0.7922493614783894,0.6975135996116201
22,1,0.6330989330902388,0.7404835701996498
23,1,0.7610055287056072,0.7813150677482723
24,1,0.7103009317066763,0.8531117435257765
25,1,0.692245399364027,0.8293896573637635
26,1,0.6143746998579389,0.828351745689188
27,1,0.644554448703181,0.8028999404179399
28,1,0.781157910581865,0.8029130441027744
29,1,0.7292231741878263,0.7817665625012619
30,1,0.7637415349483809,0.7455188274606429
21,2,0.7176369799340647,0.6812218110857793
22,2,0.719583098549352,0.7513492857389458
23,2,0.6448578925124815,0.7994873023478457
24,2,0.7692675175795163,0.7257255333719903
25,2,0.7866496858797377,0.8554263730511126
26,2,0.7460051807924462,0.7395398747517369
27,2,0.6680508070975477,0.6839573495152578
28,2,0.6681682983131607,0.8577372684047653
29,2,0.6256514157577835,0.8412195291213995
30,2,0.7530058962590753,0.8147546871856016
21,3,0.6494707360000069,0.7853612288042587
